salary;age;elevel;car;zipcode;credit;brand
146658.8815;66;4;1;2;809.34;Belkin
146160.0166;62;4;1;2;808.79;Belkin
148390.2692;62;4;1;0;741.74;Belkin
140380.054;57;4;1;0;740.66;Belkin
144761.2305;62;4;1;7;748.03;Belkin
149049.1023;64;4;1;5;788.82;Belkin
143154.8335;72;4;1;2;740.06;Belkin
145620.3879;77;4;1;2;792.51;Belkin
147532.012;79;4;1;0;830.02;Belkin
148225.788;74;4;1;1;754.28;Belkin
147905.1644;66;4;1;0;778.73;Belkin
145692.4461;77;4;1;6;774.88;Belkin
150000;46;4;1;8;791.01;Elago
145817.1597;41;4;1;2;736.57;Elago
140634.9444;31;4;1;7;805.23;Elago
149326.4487;35;4;1;2;819.62;Elago
145494.1021;34;4;1;6;803.6;Elago
147177.3692;36;4;1;0;775.56;Elago
140186.1272;42;4;1;4;733.69;Elago
144142.9944;41;4;1;1;784.18;Elago
144738.7957;32;4;1;1;739.24;Elago
140889.3137;50;4;1;6;762.34;Elago
143773.5183;33;4;1;0;818.99;Elago
145087.5398;47;4;1;8;800.78;Elago
150000;40;4;1;2;741.47;Elago
150000;30;4;1;4;765.24;Elago
142758.3053;41;4;1;4;742.49;Elago
145683.8368;41;4;1;7;768.89;Elago
142443.0239;80;4;1;2;745.04;Elago
141284.625;49;4;1;2;752.27;Elago
150000;51;4;1;4;809.89;Elago
142845.6454;73;4;1;1;732.42;Elago
140450.6143;59;4;1;4;760.24;Elago
145390.7608;61;4;1;7;800.17;Elago
142318.763;47;4;1;1;799.95;Elago
140182.9036;56;4;1;8;807.47;Elago
142424.5409;47;4;1;8;734.86;Elago
141467.5743;23;4;1;4;776.43;Elago
148231.7397;37;4;1;5;789.85;Elago
140734.6102;32;4;1;4;741.39;Elago
143268.6754;47;4;1;2;768.89;Elago
142956.7202;24;4;1;8;797.03;Elago
141875.4861;80;4;1;7;800.38;Elago
141457.1859;80;4;1;5;807.47;Elago
144917.4697;57;4;1;0;758.81;Elago
145424.8692;22;4;1;1;745.83;Belkin
141522.7511;23;4;1;4;760.33;Elago
150000;20;4;1;0;818.32;Elago
148080.6561;25;4;1;8;797.74;Elago
141486.3601;23;4;1;6;776.19;Elago
147043.4043;21;4;1;3;794.32;Elago
149151.4968;62;4;1;2;837.33;Belkin
145391.9949;74;4;1;8;784.11;Belkin
150000;56;4;1;1;810.16;Belkin
147166.3825;61;4;1;0;811.12;Belkin
143284.0101;79;4;1;1;821.24;Belkin
142031.3849;65;4;1;2;766.31;Belkin
147862.3921;69;4;1;4;759.24;Belkin
146854.1369;77;4;1;1;811.57;Belkin
140425.0893;67;4;1;0;801.17;Belkin
145187.1975;71;4;1;7;790;Belkin
141473.956;53;4;1;1;746.77;Elago
145920.436;29;4;1;5;755.4;Elago
150000;53;4;1;3;805.24;Elago
141926.1291;48;4;1;4;788.99;Elago
150000;49;4;1;6;841;Elago
147868.3377;52;4;1;2;812.84;Elago
150000;44;4;1;0;772.94;Elago
150000;49;4;1;4;817.89;Elago
143485.7097;47;4;1;3;762.42;Elago
150000;30;4;1;4;779.84;Elago
146970.4212;37;4;1;7;757.66;Elago
143203.6482;41;4;1;1;777.25;Elago
146398.1479;23;4;1;8;765.77;Elago
142564.5221;46;4;1;8;768.3;Elago
149336.5296;22;4;1;6;779.77;Elago
140844.1503;23;4;1;8;770.68;Elago
146852.6801;47;4;1;4;780.95;Elago
140938.2283;74;4;1;3;801.87;Elago
145815.8271;74;4;1;1;813.12;Elago
141882.5577;79;4;1;1;735.4;Elago
149567.9832;41;4;1;2;777.08;Elago
143037.5943;58;4;1;0;735.43;Elago
140644.3875;42;4;1;7;810.28;Elago
143511.4509;60;4;1;6;784.87;Elago
150000;20;4;1;6;825.27;Elago
142621.4906;53;4;1;1;797.25;Elago
150000;28;4;1;4;817.64;Elago
145223.8961;66;4;1;1;759.9;Elago
142288.195;80;4;1;7;832.52;Elago
139526.5424;27;4;16;7;798.53;Elago
137408.4208;27;4;5;4;755.15;Elago
138884.1514;24;4;12;1;788.16;Elago
128071.5556;20;4;8;0;774.55;Elago
131366.4699;24;4;17;5;767;Elago
135732.956;20;4;6;4;807.63;Elago
138887.4774;21;4;5;3;803.94;Elago
136060.6514;77;4;10;6;772.47;Belkin
124814.3075;62;4;17;4;754.01;Belkin
138049.4567;63;4;14;0;775.14;Belkin
130243.3134;64;4;20;4;739.96;Belkin
127712.3769;75;4;8;3;782.21;Belkin
118512.4809;76;4;5;0;739;Belkin
133881.4102;76;4;2;1;790.55;Belkin
120476.402;76;4;10;3;756.56;Belkin
131449.8368;67;4;6;2;744.88;Belkin
137064.7413;69;4;14;4;807.5;Belkin
133669.9878;64;4;8;1;795.5;Belkin
125156.2136;77;4;3;3;777.16;Belkin
137625.5538;77;4;7;6;792.24;Belkin
116611.6791;75;4;12;1;750.97;Belkin
119851.4739;64;4;19;6;760.28;Belkin
137020.5788;58;4;16;7;780.22;Belkin
138804.6127;68;4;17;3;743.46;Belkin
139603.6084;76;4;20;5;732.13;Belkin
133782.1508;70;4;16;6;738.13;Belkin
135924.3626;59;4;19;4;749.73;Belkin
139853.0759;76;4;6;5;797.99;Belkin
125383.3215;68;4;5;3;788.06;Belkin
123611.287;61;4;17;4;784.23;Belkin
123307.3933;71;4;19;6;763.91;Belkin
136605.496;72;4;17;1;748.03;Belkin
130645.0858;31;4;5;6;797.82;Elago
134321.6657;52;4;19;5;815.5;Elago
130592.6381;31;4;4;7;734.25;Elago
137207.4279;43;4;3;5;759.6;Elago
122166.3734;51;4;2;4;773.06;Belkin
122237.4123;49;4;12;5;760.57;Elago
139626.5437;46;4;5;7;785.91;Elago
126065.2677;48;4;10;2;749.63;Belkin
116507.9862;32;4;19;1;769.38;Elago
121690.9817;31;4;14;8;738.81;Elago
126317.2159;29;4;20;5;731.19;Elago
133726.7903;34;4;19;5;756.06;Elago
129572.2709;44;4;13;6;764.65;Elago
129241.1412;33;4;20;0;749.79;Elago
128542.582;47;4;10;1;786.63;Elago
130192.326;41;4;10;8;793.24;Elago
131347.7386;54;4;7;5;802.47;Elago
126858.817;36;4;20;2;736.38;Elago
126306.8972;53;4;1;8;787.03;Elago
124242.4812;38;4;20;1;781.11;Elago
138895.8029;48;4;13;5;764.08;Elago
134345.3401;51;4;20;7;780.3;Elago
137832.7836;46;4;19;0;794.32;Elago
137519.1124;50;4;9;0;815.5;Elago
128510.2701;25;4;20;0;736.71;Elago
128317.1283;48;4;14;7;759.59;Elago
131838.0205;67;4;12;5;777.03;Elago
124854.2453;28;4;10;1;783.73;Elago
139609.4978;24;4;7;3;747.05;Elago
124026.4977;41;4;2;6;744.64;Elago
123605.3551;70;4;7;7;731.4;Elago
129494.8088;33;4;19;5;798.55;Elago
136790.4965;55;4;16;7;730.17;Elago
125823.7015;28;4;9;4;743.55;Elago
121882.5869;55;4;14;5;775.03;Belkin
138886.4099;64;4;1;6;785.21;Elago
119454.6445;66;4;2;6;781.5;Elago
130106.541;59;4;7;0;742.09;Elago
139462.1424;35;4;13;6;767.06;Elago
137949.2623;76;4;19;5;730.76;Elago
133675.371;36;4;9;0;740.11;Elago
138685.711;65;4;4;5;748.56;Elago
117449.0895;20;4;1;8;745.37;Elago
116840.815;54;4;16;8;754.1;Belkin
128326.1708;65;4;17;0;790.04;Elago
130449.5111;74;4;12;6;748.93;Elago
129664.3963;51;4;6;8;733.35;Elago
123343.3931;75;4;4;2;757.36;Elago
138723.9133;45;4;14;7;742.74;Elago
121927.2551;36;4;9;6;761.98;Elago
137368.9441;57;4;12;8;795.68;Elago
117943.4244;51;4;9;6;772.02;Belkin
124068.8233;44;4;16;5;765.33;Elago
119294.2572;29;4;17;1;744.65;Elago
134379.9162;65;4;19;2;793.47;Elago
125757.0012;65;4;12;4;743.53;Elago
131554.3917;61;4;20;0;809.59;Elago
130064.15;59;4;14;0;800.14;Elago
124095.9612;52;4;4;6;740.23;Elago
135050.2926;54;4;12;1;768.64;Elago
139476.1424;58;4;12;5;817.71;Elago
116461.703;70;4;3;3;759.74;Elago
138257.5509;50;4;9;6;780.04;Elago
130394.8624;25;4;5;6;738;Elago
130348.9796;72;4;7;2;742.98;Elago
138896.0497;65;4;16;5;785.46;Elago
136866.9307;80;4;8;8;764.74;Elago
128295.7131;35;4;20;8;802.43;Elago
138076.2787;27;4;13;3;823.52;Elago
136883.9266;41;4;16;6;807.68;Elago
120260.6492;78;4;2;4;746.25;Elago
130167.2988;62;4;12;3;759.37;Elago
122817.0148;74;4;12;6;777.55;Elago
136856.6762;36;4;13;2;765.65;Belkin
147589.196;22;4;11;1;789.36;Elago
142056.9687;20;4;11;1;762.22;Elago
141896.9087;58;4;11;4;734.12;Belkin
144407.8989;78;4;11;8;831.54;Belkin
140161.9768;65;4;11;7;826.31;Belkin
143428.4681;59;4;11;2;778.45;Belkin
144383.2662;69;4;11;3;828.93;Belkin
140693.8718;79;4;11;0;765.37;Belkin
140349.9826;66;4;11;1;763.79;Belkin
140064.9021;79;4;11;7;747.24;Belkin
140784.7192;60;4;11;4;824.8;Belkin
149630.8909;75;4;11;4;775.25;Belkin
144307.8587;80;4;11;3;744.95;Belkin
142797.0402;69;4;11;0;787.55;Belkin
147503.9701;76;4;11;2;731;Belkin
150000;31;4;11;5;771.34;Elago
144310.3847;41;4;11;6;732.51;Elago
150000;52;4;11;6;838.89;Elago
143820.9877;33;4;11;7;759.23;Elago
147135.6451;43;4;11;1;766.06;Elago
142847.0274;50;4;11;0;833.26;Elago
140445.0976;33;4;11;7;740.61;Elago
150000;51;4;11;0;804.15;Elago
142994.7683;33;4;11;7;763.81;Elago
141225.1182;41;4;11;3;762.67;Elago
143472.9939;39;4;11;6;770.89;Elago
148424.3766;29;4;11;0;784.61;Elago
140654.117;51;4;11;2;771.7;Elago
140566.5674;64;4;11;2;760.07;Elago
143725.4362;66;4;11;8;809.84;Elago
146305.3113;54;4;11;6;749.12;Elago
142202.4762;29;4;11;2;742.02;Elago
150000;66;4;11;5;759.14;Elago
142537.2768;68;4;11;5;809.13;Elago
150000;74;4;11;8;799.48;Elago
143295.9821;61;4;11;2;779.86;Elago
150000;25;4;11;1;795.83;Elago
150000;60;4;11;6;794.91;Elago
148953.2322;72;4;11;6;761.84;Elago
150000;77;4;11;2;778.53;Elago
149973.4594;80;4;11;4;765.11;Elago
140005.9396;36;4;11;0;793.56;Elago
140768.4066;31;4;11;5;770.8;Elago
147075.7957;67;4;11;2;757.85;Elago
145014.8198;20;4;11;2;768.74;Elago
146126.3116;66;4;11;3;730.34;Elago
150000;24;4;11;5;768.76;Elago
145381.0776;36;4;11;3;758.9;Belkin
145809.787;67;4;11;7;739.65;Belkin
147332.1848;68;4;11;4;775.31;Belkin
144432.5658;21;4;6;0;787.03;Elago
150000;27;4;6;5;825.62;Elago
150000;27;4;7;8;770.78;Elago
150000;22;4;20;8;762.19;Elago
150000;22;4;4;4;781.65;Elago
141443.3933;22;4;14;2;763.29;Elago
142943.6474;62;4;1;2;747.72;Belkin
149143.068;60;4;12;8;796.1;Belkin
144767.7891;64;4;1;1;796.1;Belkin
145623.9672;74;4;17;2;819.23;Belkin
146476.482;75;4;9;8;794.21;Belkin
143579.1924;71;4;16;2;801.91;Belkin
150000;68;4;13;7;814.91;Belkin
143842.2927;78;4;13;1;791.61;Belkin
140703.0373;73;4;16;0;742.02;Belkin
149120.0591;71;4;14;1;820.79;Belkin
150000;58;4;2;7;789.88;Belkin
150000;60;4;2;1;773.55;Belkin
147771.3641;61;4;2;3;754.44;Belkin
143450.3068;62;4;7;4;785.47;Belkin
140824.9441;72;4;20;0;802;Belkin
140759.2552;69;4;7;0;812.81;Belkin
141705.8153;71;4;14;0;810.31;Belkin
144817.7704;77;4;20;2;791.19;Belkin
144083.7597;80;4;12;2;786.21;Belkin
143124.2611;74;4;4;8;767.3;Belkin
143027.6578;62;4;1;2;744.53;Belkin
142821.8015;58;4;5;4;756.18;Belkin
148233.5577;56;4;3;8;738.59;Belkin
140924.8388;65;4;3;6;734.33;Belkin
143727.5131;72;4;2;5;823.83;Belkin
148017.292;30;4;5;8;746.75;Elago
140639.0634;51;4;13;5;767.18;Elago
150000;46;4;12;7;750.76;Elago
141034.7499;48;4;13;8;772.31;Elago
140191.798;41;4;8;0;753.91;Elago
143563.7628;37;4;14;0;805.02;Elago
141449.193;43;4;7;4;788.97;Elago
144987.3334;34;4;8;0;802.41;Elago
148783.746;50;4;19;5;817.41;Elago
149267.8584;40;4;1;5;835.09;Elago
148725.287;42;4;6;0;828.94;Elago
143446.0377;51;4;5;8;762;Elago
148813.4067;43;4;9;1;745.81;Elago
145389.8117;36;4;12;0;759.52;Elago
143243.276;46;4;11;6;834.56;Elago
145645.3529;30;4;16;8;771.43;Elago
150000;43;4;8;2;843.61;Elago
146316.6656;29;4;12;8;758.29;Elago
144880.2223;71;4;6;4;738.97;Elago
144267.4767;63;4;9;3;734.61;Elago
140589.2649;67;4;5;5;772.15;Elago
143518.7189;34;4;17;6;738.29;Elago
146406.819;48;4;17;8;809.2;Elago
141481.272;57;4;20;3;807.5;Elago
140568.4004;63;4;3;7;806.25;Elago
150000;68;4;12;5;834.03;Elago
146349.8293;28;4;4;0;778.41;Elago
147246.8725;72;4;6;3;788.58;Elago
140160.7441;72;4;6;4;797.08;Elago
145242.6441;43;4;9;6;803.39;Elago
143007.6289;63;4;9;1;746.49;Elago
150000;56;4;12;6;804.12;Elago
146267.0167;44;4;11;2;811.42;Elago
150000;44;4;20;6;788.09;Elago
150000;21;4;20;2;840.41;Elago
146794.549;55;4;12;0;747.32;Elago
146079.1786;80;4;6;7;808.38;Elago
141185.6322;29;4;13;4;808.48;Elago
142384.7681;38;4;1;8;731.85;Elago
144001.633;23;4;16;4;783.6;Elago
146965.2472;69;4;3;7;788.68;Elago
149083.0364;50;4;2;8;803.53;Elago
142116.369;34;4;11;7;744.76;Elago
146063.7036;32;4;11;7;812.68;Elago
143684.1122;73;4;17;6;799.77;Elago
150000;39;4;3;0;765.73;Elago
142192.9999;41;4;14;2;775.59;Elago
143080.8485;43;4;6;3;736.71;Belkin
132024.1642;26;3;3;1;794.36;Elago
137988.4964;25;3;9;6;783.46;Elago
113343.3946;26;3;8;2;746.25;Elago
100848.5796;22;3;12;8;743.98;Elago
130240.6113;23;3;13;0;740.72;Elago
118135.3211;24;2;1;6;771.17;Elago
121403.2634;22;3;13;5;781.45;Elago
119250.8925;26;2;1;5;765.82;Elago
111095.1883;23;3;13;8;749.09;Elago
97909.70743;24;3;20;8;730.66;Elago
109162.2418;22;2;13;2;734.44;Elago
112577.4471;25;3;1;3;756.1;Elago
109015.1278;26;3;12;4;757.76;Elago
134907.334;24;2;14;0;762.46;Elago
119163.3981;21;3;8;7;761.45;Elago
133915.5512;24;3;10;2;733.36;Elago
125104.3544;22;3;7;6;747.65;Elago
115626.9594;24;2;9;2;775.47;Elago
139459.8197;21;3;13;3;809.94;Elago
130591.6206;27;3;2;2;737.46;Elago
127223.4821;27;2;10;3;799.96;Elago
106370.7117;25;2;9;3;737.44;Elago
132543.2098;20;3;12;4;771.53;Elago
136428.5988;21;3;7;0;737.5;Elago
120448.1689;26;2;1;3;738.69;Elago
105382.5579;24;3;4;3;746.49;Elago
133292.6651;25;3;13;8;742.32;Elago
135119.534;25;3;3;2;743.67;Elago
136850.3505;20;3;9;2;766.31;Elago
138114.4359;25;3;14;8;734.28;Elago
137997.592;27;3;14;4;780.24;Elago
109173.0174;23;2;1;5;741.58;Elago
135168.5477;27;3;2;5;796.23;Elago
138723.0641;25;2;2;4;772.71;Elago
123229.3134;22;3;7;8;784.82;Elago
136434.7001;24;3;12;3;776.31;Elago
129240.5633;27;3;3;1;795.35;Elago
107286.3058;26;3;17;5;752.36;Elago
102351.5481;26;3;8;4;747.19;Elago
134954.0577;24;3;13;8;770.06;Elago
138330.491;20;2;4;1;807.56;Elago
104734.8604;20;3;8;6;741.36;Elago
138142.7203;21;3;17;1;813.5;Elago
101648.7156;26;2;14;4;733.19;Elago
136877.3872;27;3;5;0;783.51;Elago
122894.358;23;3;2;7;764.48;Elago
133171.2065;23;3;1;3;765.14;Elago
129209.6079;20;3;6;2;754.38;Elago
125822.3872;26;3;6;0;793;Elago
108282.155;25;3;4;2;735.17;Elago
131050.2667;24;2;14;2;782.53;Elago
137047.7626;24;3;3;8;783.32;Elago
114343.1538;26;3;4;8;753.48;Elago
130133.147;22;3;8;2;763.7;Elago
128822.5314;26;3;1;7;788.69;Elago
109781.6389;26;3;4;3;758.06;Elago
101981.4416;25;3;5;7;741.42;Elago
121072.5109;24;3;17;5;748.28;Elago
122716.7279;20;3;2;1;739.41;Elago
137119.8907;20;3;13;1;777.02;Elago
134176.4193;24;3;14;2;798.28;Elago
129257.9438;23;2;6;4;769.06;Elago
128421.4391;20;3;8;4;777.9;Elago
106478.95;27;3;10;1;741.23;Elago
124978.7342;23;2;12;3;783.9;Elago
100233.3878;22;3;4;5;742.66;Elago
128807.9885;20;2;1;7;751.04;Elago
139421.7194;24;3;8;0;779.84;Elago
122398.2109;21;3;14;4;785.73;Elago
116031.9481;25;2;14;8;762.76;Elago
124950.6294;26;2;8;2;744.97;Elago
132989.1815;23;3;16;3;778.52;Elago
135261.8514;26;3;3;4;731.79;Elago
133162.3653;69;2;7;8;786.33;Belkin
115456.8145;69;3;19;1;744.84;Belkin
133548.1379;80;3;1;1;764.04;Belkin
122047.985;65;2;5;5;783.13;Belkin
111228.2913;75;3;9;7;732.28;Belkin
135735.9405;57;3;14;7;744.71;Belkin
122498.2133;57;2;4;7;757.19;Belkin
135524.6908;70;3;3;5;779.44;Belkin
124897.6676;74;3;4;6;769.88;Belkin
106442.9717;61;3;14;6;755.93;Belkin
118172.0587;60;3;3;7;764.27;Belkin
122060.5442;77;3;8;8;744.5;Belkin
128852.0589;79;2;6;4;744.13;Belkin
103906.3039;77;3;3;8;730.79;Belkin
128619.6446;73;2;10;8;735.32;Belkin
135314.0475;65;3;1;1;768.29;Belkin
139822.8596;77;2;2;5;778.51;Belkin
111036.796;68;3;5;0;733.26;Belkin
136896.827;59;3;5;6;796.61;Belkin
117307.0063;63;2;14;1;760.05;Belkin
127800.5234;66;3;14;2;765.58;Belkin
130139.1868;65;3;14;0;788.96;Belkin
120829.8944;67;3;9;2;758.08;Belkin
138860.1354;56;3;20;7;811.61;Belkin
126780.8246;66;3;14;3;745.93;Belkin
104757.0239;71;2;19;4;748.88;Belkin
95415.7984;67;3;2;2;732.09;Belkin
126060.2434;65;3;3;0;732.41;Belkin
105844.7148;60;2;20;4;731;Belkin
127111.8916;59;3;17;0;787.18;Belkin
125903.1712;66;3;1;2;773.82;Belkin
123622.3109;80;3;9;7;767.56;Belkin
132026.2429;77;3;5;8;793.51;Belkin
139360.659;78;3;17;4;740.6;Belkin
130707.3908;61;3;20;2;782.56;Belkin
133686.0803;63;3;2;5;798.66;Belkin
136146.4958;79;3;5;5;806.95;Belkin
135028.0686;70;2;8;2;783.7;Belkin
132968.7466;73;3;4;4;785.35;Belkin
132373.1711;67;3;9;3;741.5;Belkin
130478.6889;59;2;14;5;740.79;Belkin
127918.8504;56;3;9;0;748.44;Belkin
138846.0279;64;3;12;6;747.91;Belkin
125122.0232;56;3;2;0;774.7;Belkin
129808.3291;64;3;13;4;780.83;Belkin
131779.5498;61;3;4;6;805.59;Belkin
139815.3895;65;3;2;1;826.88;Belkin
113045.1941;58;3;1;7;755.75;Belkin
122638.4973;59;3;3;0;761.42;Belkin
112952.3977;62;3;12;0;762.68;Belkin
130097.485;74;3;8;8;794.84;Belkin
132914.0996;78;3;16;1;803.14;Belkin
105147.2611;67;3;14;4;740.64;Belkin
131415.6291;72;3;2;0;773.38;Belkin
95990.62913;73;2;14;7;733.59;Belkin
114847.7639;67;3;1;0;762.6;Belkin
107824.9128;74;3;16;0;741.13;Belkin
112779.0697;65;2;6;6;762.98;Belkin
112038.0478;74;2;2;3;730.9;Belkin
126479.9281;77;3;19;2;783.83;Belkin
104316.9914;74;3;12;2;730.76;Belkin
135254.8588;80;3;4;0;801.66;Belkin
125605.6143;78;3;19;5;785.5;Belkin
136109.9654;64;3;10;1;744.07;Belkin
132352.3358;57;3;19;0;730.78;Belkin
128953.4093;76;3;13;7;804.03;Belkin
131639.0867;68;3;3;8;737.45;Belkin
105599.8079;61;2;13;1;750.48;Belkin
139782.5628;78;3;6;8;751;Belkin
129734.2053;80;3;12;4;802.71;Belkin
121599.1924;62;3;16;0;776.6;Belkin
137686.0961;74;3;13;4;809.28;Belkin
104658.3691;78;3;10;8;730.24;Belkin
101165.1551;67;3;4;2;744.65;Belkin
118226.8182;71;3;6;1;745.92;Belkin
113388.7274;72;2;16;5;749.29;Belkin
135630.9846;70;3;13;5;788.88;Belkin
137260.8177;66;3;13;7;757.89;Belkin
130036.6594;78;3;13;7;748.47;Belkin
119235.8074;77;2;13;0;750.28;Belkin
127274.7033;72;3;9;7;786.93;Belkin
113351.929;80;3;13;7;760.93;Belkin
135007.6027;75;3;13;2;780.99;Belkin
131630.313;66;2;3;8;799.04;Belkin
100908.9296;62;3;5;7;733.94;Belkin
131203.5896;80;3;3;3;766.25;Belkin
139880.2332;64;2;19;2;788.48;Belkin
130933.1645;71;2;13;3;733.19;Belkin
135375.2267;72;3;6;0;741.45;Belkin
125076.7141;57;3;12;4;778.25;Belkin
134067.1765;62;2;1;7;758.97;Belkin
133901.4545;60;3;20;3;797.03;Belkin
122527.0942;71;2;4;8;773.13;Belkin
139667.2703;74;3;14;4;733.31;Belkin
123176.0401;78;3;14;2;765.51;Belkin
115117.1132;73;2;6;6;739.64;Belkin
116846.6316;79;3;14;5;758.59;Belkin
119192.5941;73;3;17;6;776.81;Belkin
134871.132;58;3;8;0;785.74;Belkin
116607.3175;75;2;14;7;758.35;Belkin
135040.4454;73;3;3;8;760.78;Belkin
114273.5525;62;2;13;1;747.76;Belkin
134231.358;63;3;12;2;771.35;Belkin
126006.1742;75;3;5;1;780.33;Belkin
130300.1049;57;2;4;6;735;Belkin
126065.6534;78;3;13;0;772.54;Belkin
136258.121;72;2;19;4;782.35;Belkin
121416.618;57;2;3;6;771.18;Belkin
113602.3857;78;3;3;6;758.1;Belkin
112794.415;71;2;10;5;766.27;Belkin
132762.7279;71;3;14;4;795.93;Belkin
115334.5828;78;2;6;4;731.56;Belkin
126586.9292;80;3;10;1;798.97;Belkin
136218.0637;57;3;9;0;742.99;Belkin
103778.2468;78;2;20;8;745.01;Belkin
131712.0535;75;3;2;8;750.64;Belkin
119170.8463;61;3;3;2;775.96;Belkin
112705.7765;73;2;1;0;749.28;Belkin
133196.9164;59;2;14;3;805.18;Belkin
134114.4567;62;2;5;2;770.01;Belkin
137340.0683;74;2;20;8;744.18;Belkin
129345.9842;58;3;3;8;780.77;Belkin
120400.3553;63;3;2;8;744.95;Belkin
108455.7525;73;3;3;5;734.97;Belkin
135301.155;59;3;12;0;806.75;Belkin
115828.4069;60;2;6;5;764.71;Belkin
132701.7188;62;3;19;6;746.28;Belkin
130756.6811;66;3;1;1;797.58;Belkin
99620.16371;58;3;9;6;734.83;Belkin
131817.7041;76;3;19;0;806.87;Belkin
119328.8468;71;2;17;8;744.55;Belkin
134763.2671;61;3;17;7;778.14;Belkin
125271.4287;62;3;1;5;733.17;Belkin
125258.6607;65;2;13;3;742.65;Belkin
118966.2564;77;2;2;7;768.29;Belkin
137975.9601;63;3;10;5;816.85;Belkin
107893.0015;79;3;4;6;733.42;Belkin
125877.1804;64;3;13;6;786.31;Belkin
125856.0404;79;3;2;6;789.51;Belkin
129181.382;75;3;7;4;768.78;Belkin
116753.9995;61;2;13;2;756.47;Belkin
128751.1452;66;2;2;0;770.7;Belkin
115743.3083;72;3;7;3;743.12;Belkin
108134.8989;62;2;17;1;731.33;Belkin
125839.9403;75;2;2;4;791.4;Belkin
128725.3843;74;3;13;7;744.45;Belkin
127434.5265;57;3;3;7;730.5;Belkin
96591.09454;63;2;19;3;730.41;Belkin
113770.6723;59;3;14;6;734.86;Belkin
126752.7523;76;2;1;3;778.05;Belkin
132305.4469;62;3;10;8;735.75;Belkin
104668.3155;72;2;8;4;732.57;Belkin
138427.1149;63;3;16;7;741.59;Belkin
112353.3597;66;2;10;4;768.56;Belkin
98668.17916;61;3;12;0;733.03;Belkin
121282.3581;59;3;14;3;765.7;Belkin
118627.5852;71;3;14;5;751.5;Belkin
133731.7731;80;3;14;7;739.65;Belkin
133141.3573;59;2;16;0;794.58;Belkin
139667.338;73;3;20;4;732.85;Belkin
107249.7069;73;2;14;8;750.72;Belkin
118499.4653;60;3;3;5;757.31;Belkin
129345.4246;75;3;9;3;771.59;Belkin
133431.1051;57;3;17;1;775.85;Belkin
133893.3738;78;3;19;8;751.09;Belkin
106753.3334;63;2;1;6;735.69;Belkin
139242.2509;68;3;8;4;764.98;Belkin
126332.64;73;3;1;6;783.86;Belkin
113031.068;68;2;8;8;737.32;Belkin
